"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Mon Jul 24 21:05:22 GMT 2023","Mon Jul 24 21:05:22 GMT 2023","0","Surefire suite","Surefire test","tests.FAQTest","tests.FAQTest","testFAQInnerDescriptionsAmount","testFAQInnerDescriptionsAmount",""
"passed","Mon Jul 24 21:07:27 GMT 2023","Mon Jul 24 21:07:35 GMT 2023","8122","Surefire suite","Surefire test","tests.TopMenuTest","tests.TopMenuTest","testEachTopMenuNavigatesToCorrespondingPage","testEachTopMenuNavigatesToCorrespondingPage",""
"passed","Mon Jul 24 21:21:48 GMT 2023","Mon Jul 24 21:21:57 GMT 2023","9217","Surefire suite","Surefire test","tests.api.API_MainTest","tests.api.API_MainTest","test_API_HttpResponse_AndUIView_OfEightDaysForecastCalendar","test_API_HttpResponse_AndUIView_OfEightDaysForecastCalendar",""
"passed","Mon Jul 24 21:28:28 GMT 2023","Mon Jul 24 21:28:39 GMT 2023","10565","Surefire suite","Surefire test","tests.HomeZipCodeDataNewTest","tests.HomeZipCodeDataNewTest","testErrorMessage_WhenEmailIsEmpty_InBillingDetails","testErrorMessage_WhenEmailIsEmpty_InBillingDetails",""
"passed","Mon Jul 24 21:09:47 GMT 2023","Mon Jul 24 21:09:55 GMT 2023","7904","Surefire suite","Surefire test","tests.TopMenuTest","tests.TopMenuTest","testHamburgerMenuIsAvailableAndHasOptions_TopMenu","testHamburgerMenuIsAvailableAndHasOptions_TopMenu",""
"passed","Mon Jul 24 21:22:25 GMT 2023","Mon Jul 24 21:22:35 GMT 2023","9692","Surefire suite","Surefire test","tests.api.API_MainTest","tests.api.API_MainTest","test_UIEightDaysForecastCalendarOnCurrentDateFrom_API_HttpResponse","test_UIEightDaysForecastCalendarOnCurrentDateFrom_API_HttpResponse",""
"passed","Mon Jul 24 21:11:22 GMT 2023","Mon Jul 24 21:11:30 GMT 2023","7598","Surefire suite","Surefire test","tests.TopMenuTest","tests.TopMenuTest","testSupportMenuLinksTexts","testSupportMenuLinksTexts",""
"passed","Mon Jul 24 21:07:45 GMT 2023","Mon Jul 24 21:07:53 GMT 2023","8752","Surefire suite","Surefire test","tests.TopMenuTest","tests.TopMenuTest","testEachTopMenuNavigatesToCorrespondingPage","testEachTopMenuNavigatesToCorrespondingPage",""
"passed","Mon Jul 24 21:12:51 GMT 2023","Mon Jul 24 21:13:00 GMT 2023","8354","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testFooterMenuLinksAmount","testFooterMenuLinksAmount",""
"unknown","Mon Jul 24 21:05:22 GMT 2023","Mon Jul 24 21:05:22 GMT 2023","0","Surefire suite","Surefire test","tests.HomeUsersSignInTest","tests.HomeUsersSignInTest","testEmailResetPasswordReceived","testEmailResetPasswordReceived",""
"unknown","Mon Jul 24 21:05:22 GMT 2023","Mon Jul 24 21:05:22 GMT 2023","0","Surefire suite","Surefire test","tests.HomeUsersSignInTest","tests.HomeUsersSignInTest","testAfterMethod_ChangePasswordInUserProfile","testAfterMethod_ChangePasswordInUserProfile",""
"passed","Mon Jul 24 21:12:10 GMT 2023","Mon Jul 24 21:12:20 GMT 2023","10078","Surefire suite","Surefire test","tests.HomeTest","tests.HomeTest","testLogInWithEmailIsNotCaseSensitive","testLogInWithEmailIsNotCaseSensitive",""
"passed","Mon Jul 24 21:19:13 GMT 2023","Mon Jul 24 21:19:21 GMT 2023","8590","Surefire suite","Surefire test","tests.BulkTest","tests.BulkTest","testBulkFilesInAPIRequestsTemplate","testBulkFilesInAPIRequestsTemplate",""
"passed","Mon Jul 24 21:21:29 GMT 2023","Mon Jul 24 21:21:38 GMT 2023","8919","Surefire suite","Surefire test","tests.api.API_MainTest","tests.api.API_MainTest","test_API_HttpRequestResponse_WhenSearchingCityCountry","test_API_HttpRequestResponse_WhenSearchingCityCountry",""
"passed","Mon Jul 24 21:23:25 GMT 2023","Mon Jul 24 21:23:34 GMT 2023","9073","Surefire suite","Surefire test","tests.WeatherMapsTest","tests.WeatherMapsTest","testWeatherControlLayersText","testWeatherControlLayersText",""
"unknown","Mon Jul 24 21:05:22 GMT 2023","Mon Jul 24 21:05:22 GMT 2023","0","Surefire suite","Surefire test","tests.StartTest","tests.StartTest","testH2Header_WhenSearchingCityCountryChain","testH2Header_WhenSearchingCityCountryChain",""
"unknown","Mon Jul 24 21:05:22 GMT 2023","Mon Jul 24 21:05:22 GMT 2023","0","Surefire suite","Surefire test","tests.api.API_MainTest","tests.api.API_MainTest","testAllLinksAreNotBroken","testAllLinksAreNotBroken",""
"passed","Mon Jul 24 21:24:10 GMT 2023","Mon Jul 24 21:24:20 GMT 2023","9846","Surefire suite","Surefire test","tests.HomeMarketplaceTest","tests.HomeMarketplaceTest","testWeatherDataByStateLink_NavigatesTo_HomeZipCodeDataPage","testWeatherDataByStateLink_NavigatesTo_HomeZipCodeDataPage",""
"passed","Mon Jul 24 21:17:22 GMT 2023","Mon Jul 24 21:17:30 GMT 2023","8629","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testPrivacyPolicyFooterLinkNavigatesToPrivacyPolicyWeb","testPrivacyPolicyFooterLinkNavigatesToPrivacyPolicyWeb",""
"passed","Mon Jul 24 21:13:09 GMT 2023","Mon Jul 24 21:13:18 GMT 2023","8977","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testAppStoreIconNavigatesToAppStoreWeb","testAppStoreIconNavigatesToAppStoreWeb",""
"passed","Mon Jul 24 21:18:45 GMT 2023","Mon Jul 24 21:18:55 GMT 2023","9663","Surefire suite","Surefire test","tests.HomeAskQuestionTest","tests.HomeAskQuestionTest","testErrorMessageWhenCaptchaNotVerified","testErrorMessageWhenCaptchaNotVerified",""
"unknown","Mon Jul 24 21:05:22 GMT 2023","Mon Jul 24 21:05:22 GMT 2023","0","Surefire suite","Surefire test","tests.HomeUsersSignInTest","tests.HomeUsersSignInTest","testRepeatRecoverPassword","testRepeatRecoverPassword",""
"passed","Mon Jul 24 21:18:01 GMT 2023","Mon Jul 24 21:18:10 GMT 2023","8070","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testWeatherDashboardLinkNavigatesToWeatherDashboardPage","testWeatherDashboardLinkNavigatesToWeatherDashboardPage",""
"passed","Mon Jul 24 21:24:01 GMT 2023","Mon Jul 24 21:24:10 GMT 2023","8958","Surefire suite","Surefire test","tests.HomeMarketplaceTest","tests.HomeMarketplaceTest","testButtonsAreVisibleAndClickable","testButtonsAreVisibleAndClickable",""
"passed","Mon Jul 24 21:08:29 GMT 2023","Mon Jul 24 21:08:37 GMT 2023","8528","Surefire suite","Surefire test","tests.TopMenuTest","tests.TopMenuTest","testEachTopMenuNavigatesToCorrespondingPage","testEachTopMenuNavigatesToCorrespondingPage",""
"passed","Mon Jul 24 21:18:37 GMT 2023","Mon Jul 24 21:18:45 GMT 2023","8088","Surefire suite","Surefire test","tests.PriceTest","tests.PriceTest","testH1Header","testH1Header",""
"passed","Mon Jul 24 21:15:46 GMT 2023","Mon Jul 24 21:15:56 GMT 2023","9354","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testFooterMenuLinksNavigateToCorrespondingPages","testFooterMenuLinksNavigateToCorrespondingPages",""
"passed","Mon Jul 24 21:14:51 GMT 2023","Mon Jul 24 21:14:59 GMT 2023","8188","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testFooterMenuLinksNavigateToCorrespondingPages","testFooterMenuLinksNavigateToCorrespondingPages",""
"passed","Mon Jul 24 21:13:51 GMT 2023","Mon Jul 24 21:14:00 GMT 2023","9188","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testExternalMenuLinksNavigateToCorrespondingPages","testExternalMenuLinksNavigateToCorrespondingPages",""
"unknown","Mon Jul 24 21:05:22 GMT 2023","Mon Jul 24 21:05:22 GMT 2023","0","Surefire suite","Surefire test","tests.HomeUsersSignInTest","tests.HomeUsersSignInTest","testSignInWithInvalidCredentials","testSignInWithInvalidCredentials",""
"passed","Mon Jul 24 21:11:30 GMT 2023","Mon Jul 24 21:11:37 GMT 2023","7150","Surefire suite","Surefire test","tests.TopMenuTest","tests.TopMenuTest","testTopMenuLinkAmount","testTopMenuLinkAmount",""
"passed","Mon Jul 24 21:13:27 GMT 2023","Mon Jul 24 21:13:42 GMT 2023","14636","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testConnectYourWeatherStationFooterLinkNavigatesToWeatherStationsPage","testConnectYourWeatherStationFooterLinkNavigatesToWeatherStationsPage",""
"passed","Mon Jul 24 21:25:35 GMT 2023","Mon Jul 24 21:25:43 GMT 2023","8130","Surefire suite","Surefire test","tests.StartTest","tests.StartTest","testCurrentWeatherAPIIconNavigatesToCorrespondingPage","testCurrentWeatherAPIIconNavigatesToCorrespondingPage",""
"passed","Mon Jul 24 21:18:28 GMT 2023","Mon Jul 24 21:18:37 GMT 2023","8824","Surefire suite","Surefire test","tests.PriceTest","tests.PriceTest","testDetailedPricingButtons","testDetailedPricingButtons",""
"passed","Mon Jul 24 21:24:30 GMT 2023","Mon Jul 24 21:24:38 GMT 2023","8155","Surefire suite","Surefire test","tests.StartTest","tests.StartTest","testAPIIconsNavigateToCorrespondingPages","testAPIIconsNavigateToCorrespondingPages",""
"unknown","Mon Jul 24 21:05:22 GMT 2023","Mon Jul 24 21:05:22 GMT 2023","0","Surefire suite","Surefire test","tests.HomeUsersSignInTest","tests.HomeUsersSignInTest","testChangePasswordThroughEmail","testChangePasswordThroughEmail",""
"passed","Mon Jul 24 21:13:42 GMT 2023","Mon Jul 24 21:13:51 GMT 2023","8663","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testExternalMenuLinksNavigateToCorrespondingPages","testExternalMenuLinksNavigateToCorrespondingPages",""
"passed","Mon Jul 24 21:29:01 GMT 2023","Mon Jul 24 21:29:11 GMT 2023","10602","Surefire suite","Surefire test","tests.HomeZipCodeDataNewTest","tests.HomeZipCodeDataNewTest","testErrorMessage_WhenPhoneNumberIsEmpty_InBillingDetails","testErrorMessage_WhenPhoneNumberIsEmpty_InBillingDetails",""
